Receiver,FISHID,x_plane,y_plane,Total.Length,Sex,Year,Month,Month.NUM,Day.of.month,Time,Year.3,Date,Day.of.year,Time.Hr,Hour.of.year,Day,location,Rec_Group,water_feature_type
109369,1692,401855,5772877,595,f,2011,January,1,2,1,2011,02/01/2011,2,10,20,40545,Red rock (middle),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,2,1,2011,02/01/2011,2,11,22,40545,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
109770,1740,436924,5756670,660,m,2011,January,1,2,1,2011,02/01/2011,2,12,24,40545,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
109374,1966,405691,5772105,804,m,2011,January,1,2,1,2011,02/01/2011,2,12,24,40545,NE Red rock harbour,Confluence,Reservoir
109768,1702,397202,5774610,712,f,2011,January,1,2,1,2011,02/01/2011,2,13,26,40545,Centre outer forebay,Confluence,Reservoir
109369,1692,401855,5772877,595,f,2011,January,1,2,1,2011,02/01/2011,2,14,28,40545,Red rock (middle),Confluence,Reservoir
109770,1740,436924,5756670,660,m,2011,January,1,2,1,2011,02/01/2011,2,15,30,40545,Head of Sullivan Creek,Columbia Reach Narrows to Kinbasket,Alluvial valley
109769,1766,433698,5754232,536,f,2011,January,1,2,1,2011,02/01/2011,2,17,34,40545,Mouth of Sullivan Creek,Columbia Reach Narrows to Kinbasket,delta
109370,1720,404815,5778642,691,f,2011,January,1,2,1,2011,02/01/2011,2,18,36,40545,Mouth of Wood Arm,Confluence,delta
109393,1644,392356,5792694,555,m,2011,January,1,2,1,2011,02/01/2011,2,20,40,40545,Mouth of Foster Creek,Foster Creek to Hugh Allan,delta
109370,1720,404815,5778642,691,f,2011,January,1,2,1,2011,02/01/2011,2,20,40,40545,Mouth of Wood Arm,Confluence,delta
109390,1680,403809,5773798,640,m,2011,January,1,2,1,2011,02/01/2011,2,21,42,40545,Welsh Bay,Confluence,Reservoir
109769,1766,433698,5754232,536,f,2011,January,1,2,1,2011,02/01/2011,2,22,44,40545,Mouth of Sullivan Creek,Columbia Reach Narrows to Kinbasket,delta
109768,1702,397202,5774610,712,f,2011,January,1,2,1,2011,02/01/2011,2,23,46,40545,Centre outer forebay,Confluence,Reservoir
109370,1604,404815,5778642,590,f,2011,January,1,3,1,2011,03/01/2011,3,1,3,40546,Mouth of Wood Arm,Confluence,delta
109370,1720,404815,5778642,691,f,2011,January,1,3,1,2011,03/01/2011,3,1,3,40546,Mouth of Wood Arm,Confluence,delta
109370,1720,404815,5778642,691,f,2011,January,1,3,1,2011,03/01/2011,3,4,12,40546,Mouth of Wood Arm,Confluence,delta
109387,1588,415082,5777780,765,f,2011,January,1,3,1,2011,03/01/2011,3,7,21,40546,Opposite Jumping Jack Creek,Wood Arm,delta
109768,1936,397202,5774610,468,m,2011,January,1,3,1,2011,03/01/2011,3,7,21,40546,Centre outer forebay,Confluence,Reservoir
109379,1970,396221,5775179,555,f,2011,January,1,3,1,2011,03/01/2011,3,10,30,40546,North outer confluence,Confluence,Reservoir
109390,1602,403809,5773798,544,f,2011,January,1,3,1,2011,03/01/2011,3,11,33,40546,Welsh Bay,Confluence,Reservoir
109768,1972,397202,5774610,621,m,2011,January,1,3,1,2011,03/01/2011,3,13,39,40546,Centre outer forebay,Confluence,Reservoir
109378,1622,400596,5781042,537,f,2011,January,1,3,1,2011,03/01/2011,3,15,45,40546,West Islands (replaced with 105468),Confluence,Reservoir
109386,1970,398223,5774034,555,f,2011,January,1,3,1,2011,03/01/2011,3,15,45,40546,South outer forebay,Confluence,Reservoir
